Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C106, C109, C135, C138, C14, C163, C166, C17, C185, C186, C19, C23, C26, C28, C31, C34, C37, C38, C39, C4, C42, C43, C45, C47, C5, C50, C53, C7, C72, C80, C81, C9",0603,33,100nF,
"C10, C11, C35, C36, C71",0603,5,2.2nF,
"C102, C103, C105, C12, C13, C131, C132, C134, C157, C158, C159, C160, C162, C188, C190, C2, C44, C46, C48, C75, C76, C77, C8",0603,23,1uF,
"C104, C110, C133, C139, C161, C167, C51, C54, C78, C83",CP_Elec_5x5.3,10,220uF,
"C107, C108, C119, C120, C121, C122, C127, C128, C136, C137, C140, C149, C150, C151, C152, C164, C165, C168, C177, C178, C179, C180, C49, C52, C61, C62, C67, C68, C79, C82, C92, C93, C94, C95",0603,34,1nF,
"C111, C112, C113, C114, C141, C142, C143, C144, C169, C170, C171, C172, C55, C56, C57, C58, C84, C85, C86, C87",0603,20,220nF,
"C115, C116, C117, C118, C145, C146, C147, C148, C173, C174, C175, C176, C59, C60, C65, C66, C88, C89, C90, C91",0603,20,680nF,
"C123, C124, C125, C126, C153, C154, C155, C156, C181, C182, C183, C184, C24, C63, C64, C69, C70, C96, C97, C98, C99",0603,21,10nF,
"C15, C16, C18, C22, C25, C27, C3, C32, C33, C40",CP_Elec_4x3,10,10uF,
"C20, C21, C29, C30",0603,4,2.2uF,
C41,CP_EIA-1608-08_AVX-J,1,10uF (Tantalum),
C6,0603,1,22uF,
C73,CP_Elec_4x3,1,22uF,
CR1,UDFEN-10_MO229_LTF,1,SP3010-04UTG,
D1,D_SMA,1,SMAJ33CA,
"D2, D5, D6, D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
"D3, D4",0603,2,LED,
J1,STEWART_SS-53200-001,1,SS-53200-001,
J10,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,SUBWOOFER_6,
J11,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,TWEETER_1,
J12,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,TWEETER_2,
J13,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,TWEETER_3,
J14,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,TWEETER_4,
J15,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,1,Barrel_Jack,
J3,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J5,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,SUBWOOFER_1,
J6,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,SUBWOOFER_2,
J7,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,SUBWOOFER_3,
J8,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,SUBWOOFER_4,
J9,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,SUBWOOFER_5,
"L1, L10, L11, L12, L2, L3, L4, L5, L6, L7, L8, L9",L_10.4x10.4_H4.8,12,10uH/10A,
"L13, L14, L15, L16, L17, L18, L19, L20",L_APV_ANR4020,8,10uH/3A,
"R1, R2",0603,2,2.2K,
"R10, R11, R8, R9",0603,4,470R,
"R12, R25, R4, R44, R49, R59, R67, R68, R69, R70, R71",0603,11,10K,
R14,0603,1,220R,
R15,0603,1,3.3R,
"R16, R17, R18, R20, R26, R27, R30, R35, R36, R39, R45, R46, R50, R55, R56, R60",0603,16,100K,
R19,0603,1,20K,
"R21, R22, R23, R24, R31, R32, R33, R34, R40, R41, R42, R43, R51, R52, R53, R54, R61, R62, R63, R64",0805,20,3.3R,
"R28, R37, R47, R57",0603,4,47K,
"R29, R38, R48, R58",0603,4,75K,
"R3, R65",0603,2,5.1K,
"R5, R6, R72, R73",0603,4,1K,
SW1,SW_Push_1P1T_NO_CK_KSC9xxJ,1,POWER,
SW2,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,PI_BOOT,
SW3,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,ESP_BOOT,
SW4,SW_Push_1P1T-SH_NO_CK_KMR2xxG,1,ESP_RESET,
SW6,SW_DPDT_CK_JS202011JCQN,1,SW_DPDT_x2,
U1,MODULE_CM4102008,1,CM4102008,
U11,SOT-23-5,1,LP5907MFX-3.3,
"U12, U13, U15, U16, U24, U25, U26",Texas_DSBGA-6_0.9x1.4mm_Layout2x3_P0.5mm,7,TS5A3159AYZPR,
"U14, U5",TSSOP-20_4.4x6.5mm_P0.65mm,2,PCM5102A,
"U17, U18, U19",SOP65P810X115-32N,3,TPA3116D2DAD,
"U2, U3, U7",USON-10_2.5x1.0mm_P0.5mm,3,TPD4E02B04DQA,
"U20, U21",SOP65P810X115-32N,2,TPA3130D2DAPR,
U22,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U23,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U27,SOT-23-5,1,TPS2041B,
U28,ESP32-WROVER-E_EXP,1,ESP32-WROVER-E-N16R8,
U6,SOT-23-3,1,RT9742SNGV,
"U8, U9",Texas_X2SON-5_0.8x0.8mm_P0.48mm,2,74LVC1G07,
VR1,TO254P1435X464-4N,1,LM1085ISX-5.0_NOPB,
