Designator,Mid X,Mid Y,Rotation,Layer
C1,180.5,-120.6,180.0,top
C10,95.525,-40.7,0.0,top
C102,98.0,-148.425,90.0,top
C103,93.5,-148.45,90.0,top
C104,79.2,-140.6,0.0,top
C105,100.3,-148.425,90.0,top
C106,84.2,-138.9,90.0,top
C107,85.7,-138.9,90.0,top
C108,100.325,-136.2,0.0,top
C109,100.325,-137.7,0.0,top
C11,91.6,-36.4,0.0,top
C110,102.8,-141.5,180.0,top
C111,88.4,-133.7,90.0,top
C112,91.9,-133.6,90.0,top
C113,93.4,-133.6,90.0,top
C114,97.1,-133.625,90.0,top
C115,74.9,-135.9,90.0,top
C116,99.4,-116.9,90.0,top
C117,99.6,-105.7,270.0,top
C118,88.7,-104.7,0.0,top
C119,74.9,-132.925,90.0,top
C12,77.6,-39.9,270.0,top
C120,99.4,-120.0,270.0,top
C121,98.0,-105.7,270.0,top
C122,88.8,-106.5,0.0,top
C123,92.0,-130.0,180.0,top
C124,101.0,-121.825,270.0,top
C125,95.325,-106.5,180.0,top
C126,92.3,-104.6,180.0,top
C127,120.2,-66.5,0.0,top
C128,102.7,-145.16182,0.0,top
C13,81.2,-37.1,0.0,top
C131,125.2,-122.575,270.0,top
C132,126.8,-122.575,270.0,top
C133,114.0,-131.3,270.0,top
C134,120.2,-122.6,270.0,top
C135,115.2,-136.5,180.0,top
C136,115.2,-138.2,180.0,top
C137,130.3,-136.8,0.0,top
C138,130.3,-138.41,0.0,top
C139,132.8,-133.0,180.0,top
C14,101.6,-39.8,45.0,top
C140,117.0,-122.6,90.0,top
C141,127.475,-140.12,270.0,top
C142,123.975,-140.12,270.0,top
C143,122.375,-140.12,270.0,top
C144,119.075,-140.195,270.0,top
C145,136.3,-152.0,180.0,top
C146,124.5,-151.6,180.0,top
C147,117.5,-145.1,270.0,top
C148,115.7,-145.1,90.0,top
C149,131.9,-145.2,270.0,top
C15,104.3,-42.1,90.0,top
C150,128.9,-145.2,90.0,top
C151,120.2,-152.3,180.0,top
C152,108.0,-151.2,180.0,top
C153,136.3,-150.4,0.0,top
C154,124.5,-150.0,0.0,top
C155,120.2,-150.6,0.0,top
C156,108.0125,-149.57071,0.0,top
C157,93.3,-41.7,270.0,top
C158,93.3,-38.7,270.0,top
C159,154.3,-122.6,270.0,top
C16,95.725,-34.2,0.0,top
C160,155.9,-122.6,270.0,top
C161,166.6,-135.4,180.0,top
C162,148.8,-122.6,270.0,top
C163,160.2,-137.2,270.0,top
C164,161.8,-137.2,270.0,top
C165,146.275,-136.6,180.0,top
C166,146.225,-138.3,180.0,top
C167,142.8,-133.0,0.0,top
C168,145.7,-122.6,90.0,top
C169,158.1,-139.9,270.0,top
C17,101.3,-32.3,0.0,top
C170,154.5,-139.9,270.0,top
C171,153.0,-139.9,270.0,top
C172,149.3,-139.8,270.0,top
C173,168.0,-151.1,180.0,top
C174,156.0,-151.5,180.0,top
C175,152.4,-151.5,180.0,top
C176,140.7,-151.7,180.0,top
C177,163.7,-145.1,270.0,top
C178,160.9,-145.1,90.0,top
C179,147.9,-145.1,270.0,top
C18,116.3,-34.1,180.0,top
C180,145.6,-145.1,90.0,top
C181,168.0,-149.5,0.0,top
C182,156.0,-149.9,0.0,top
C183,152.4,-149.9,0.0,top
C184,140.7,-150.0,0.0,top
C185,131.0,-99.8,90.0,top
C186,135.1,-95.3,90.0,top
C188,96.1,-50.7,270.0,top
C19,112.3,-32.3,180.0,top
C190,98.7,-54.8,0.0,top
C2,180.6,-118.8,180.0,top
C20,101.3,-33.9,180.0,top
C21,91.775,-32.4,0.0,top
C22,117.2,-39.7,180.0,top
C23,114.151992,-36.851992,135.0,top
C24,155.6,-72.1,180.0,top
C25,109.2,-42.4,270.0,top
C26,112.0,-44.5,225.0,top
C27,98.1,-43.9,270.0,top
C28,101.2,-43.9,270.0,top
C29,101.625,-47.4,180.0,top
C3,183.2,-146.1,180.0,top
C30,94.9,-43.0,90.0,top
C31,101.5,-52.1,45.0,top
C32,103.3,-56.1,90.0,top
C33,117.2,-44.6,180.0,top
C34,112.4,-46.3,225.0,top
C35,96.451992,-47.851992,315.0,top
C36,98.7,-53.2,0.0,top
C37,126.983579,-32.400001,180.0,top
C38,133.558578,-32.400001,180.0,top
C39,140.083579,-32.4,180.0,top
C4,177.229581,-120.580712,180.0,top
C40,173.8,-139.7,0.0,top
C41,183.3,-127.9,180.0,top
C42,146.833578,-32.4,180.0,top
C43,157.4,-73.7,180.0,top
C44,147.5,-43.4,315.0,top
C45,168.2,-131.4,0.0,top
C46,146.5,-44.5,315.0,top
C47,165.0,-127.0,90.0,top
C48,134.5,-57.1,45.0,top
C49,135.0,-48.0,180.0,top
C5,177.3,-115.6,180.0,top
C50,133.7,-45.0,90.0,top
C51,138.4,-44.2,0.0,top
C52,150.5,-54.7,45.0,top
C53,151.6,-55.8,45.0,top
C54,151.9,-46.0,270.0,top
C55,148.451992,-57.048008,225.0,top
C56,141.396016,-56.103984,225.0,top
C57,140.348008,-55.051992,225.0,top
C58,137.7,-48.6,225.0,top
C59,146.074998,-65.45,0.0,top
C6,157.6,-33.0,90.0,top
C60,146.074999,-62.25,0.0,top
C61,146.074998,-63.849997,0.0,top
C62,146.074998,-60.649998,0.0,top
C63,147.099998,-71.149997,90.0,top
C64,145.099997,-67.949998,270.0,top
C65,128.850001,-56.2,270.0,top
C66,130.550002,-56.199998,270.0,top
C67,127.250002,-56.199997,270.0,top
C68,132.150002,-56.199997,270.0,top
C69,124.650002,-55.199999,180.0,top
C7,160.125,-33.0,90.0,top
C70,121.450001,-57.1,0.0,top
C71,129.5,-95.5,90.0,top
C72,129.4,-103.5,0.0,top
C73,161.7,-128.7,90.0,top
C75,120.0,-61.5,180.0,top
C76,120.0,-63.4,180.0,top
C77,119.925,-59.1,180.0,top
C78,117.4,-50.8,180.0,top
C79,111.3,-66.3,180.0,top
C8,155.4,-36.3,180.0,top
C80,118.4,-55.4,270.0,top
C81,110.3,-68.0,180.0,top
C82,113.0,-53.0,180.0,top
C83,115.8,-68.3,180.0,top
C84,105.5,-66.5,90.0,top
C85,105.5,-63.5,270.0,top
C86,106.0,-60.475,90.0,top
C87,106.8,-57.475,270.0,top
C88,85.6,-89.7,0.0,top
C89,102.2,-82.8,180.0,top
C9,159.125,-35.3,0.0,top
C90,95.3,-67.7,180.0,top
C91,85.8,-70.0,270.0,top
C92,75.975,-89.6,0.0,top
C93,99.4,-86.5,90.0,top
C94,95.3,-66.1,180.0,top
C95,85.8,-66.9,270.0,top
C96,82.6,-89.7,180.0,top
C97,99.4,-83.5,90.0,top
C98,88.4,-67.7,0.0,top
C99,91.825,-65.8,0.0,top
CR1,189.9174,-124.9,180.0,top
D1,183.3,-123.4,270.0,top
D2,144.248581,-36.65,270.0,top
D3,172.5125,-114.4,0.0,top
D4,187.375,-115.9,0.0,top
D5,137.628578,-36.649999,270.0,top
D6,131.008579,-36.65,270.0,top
D7,124.388579,-36.65,270.0,top
J1,199.7,-121.84425,90.0,top
J10,82.3,-112.95,270.0,top
J11,130.45,-151.3,0.0,top
J12,114.0,-151.15,0.0,top
J13,161.95,-151.15,0.0,top
J14,146.5,-151.15,0.0,top
J15,199.8,-52.2,90.0,top
J2,185.88,-137.0,180.0,top
J3,193.50197416367925,-38.301974163679255,225.0,top
J5,82.3,-104.15,270.0,top
J6,82.3,-95.55,270.0,top
J7,82.25,-84.55,270.0,top
J8,82.3,-75.95,270.0,top
J9,82.3,-121.65,270.0,top
L1,153.299998,-65.599998,270.0,top
L10,92.8,-123.8,180.0,top
L11,92.7,-112.7,180.0,top
L12,92.55,-98.3,180.0,top
L13,135.2,-144.4,270.0,top
L14,125.6,-144.4,270.0,top
L15,120.9,-144.4,270.0,top
L16,112.4,-144.2,270.0,top
L17,166.9,-144.2,270.0,top
L18,157.6,-144.2,270.0,top
L19,151.1,-144.3,270.0,top
L2,138.9,-65.65,270.0,top
L20,142.3,-144.4,270.0,top
L3,127.300001,-63.399998,180.0,top
L4,127.25,-48.9,180.0,top
L5,92.9,-85.1,180.0,top
L6,104.1,-76.2,270.0,top
L7,92.85,-74.0,180.0,top
L8,79.4,-65.65,270.0,top
L9,81.4,-131.9,180.0,top
R1,188.0,-127.3,180.0,top
R10,98.7,-50.0,180.0,top
R11,98.7,-51.6,180.0,top
R12,168.2,-129.8,180.0,top
R14,148.9,-39.1,0.0,top
R15,158.575,-72.1,0.0,top
R16,159.9,-43.9,180.0,top
R17,156.9,-43.9,0.0,top
R18,134.475,-55.2,180.0,top
R19,134.5,-53.7,180.0,top
R2,186.875,-123.6,180.0,top
R20,156.9,-45.5,0.0,top
R21,146.799998,-67.949998,270.0,top
R22,145.399997,-71.349998,90.0,top
R23,124.650001,-56.899999,180.0,top
R24,121.250002,-55.4,0.0,top
R25,120.1,-65.0,180.0,top
R26,114.4,-72.0,0.0,top
R27,120.3,-70.1,0.0,top
R28,111.3,-70.2,0.0,top
R29,111.3,-71.9,0.0,top
R3,193.4,-55.3,0.0,top
R30,117.4,-72.0,0.0,top
R31,79.3,-89.9,0.0,top
R32,101.7,-85.3,315.0,top
R33,92.0,-67.5,180.0,top
R34,88.3,-65.9,180.0,top
R35,84.3,-143.6,0.0,top
R36,83.9,-147.2,0.0,top
R37,96.5,-148.45,270.0,top
R38,95.0,-148.45,270.0,top
R39,84.3,-145.1,0.0,top
R4,151.3,-36.3,180.0,top
R40,88.8125,-130.2,0.0,top
R41,101.2,-118.6,90.0,top
R42,92.1,-106.3,0.0,top
R43,95.5,-104.8,0.0,top
R44,102.632825,-146.76182,180.0,top
R45,130.0,-122.575,270.0,top
R46,118.6,-122.6,270.0,top
R47,123.7,-122.6,90.0,top
R48,122.2,-122.6,90.0,top
R49,115.4,-120.3,270.0,top
R5,169.42,-114.4,0.0,top
R50,128.4,-122.575,90.0,top
R51,136.4,-148.6,0.0,top
R52,124.5,-148.3,0.0,top
R53,120.2,-148.8,0.0,top
R54,107.8,-147.770711,0.0,top
R55,159.1,-122.6,270.0,top
R56,147.3,-122.6,270.0,top
